Geneid,LNCAP_Hypoxia_S2,PC3_Normoxia_S2,LNCAP_Hypoxia_S1,LNCAP_Normoxia_S2,PC3_Normoxia_S1,PC3_Hypoxia_S2,PC3_Hypoxia_S1,LNCAP_Normoxia_S1
ENSG00000144357,3489,1689,2970,2150,670,614,2054,3110
ENSG00000144362,351,61,233,183,21,11,49,205
ENSG00000144366,15087,407,13309,9032,145,52,172,13109
ENSG00000144369,6,813,2,1,280,177,551,9
ENSG00000144381,19157,8573,18352,30397,3210,2396,7093,40498
ENSG00000144395,494,271,424,155,86,68,232,195
ENSG00000144401,1339,671,1132,815,285,172,575,1028
ENSG00000144406,53,28,52,62,10,7,28,80
ENSG00000144407,0,1,1,0,1,0,0,0
ENSG00000144410,2,1,4,7,0,0,0,2
ENSG00000144426,2053,1059,1649,1025,391,419,1352,1467
ENSG00000144445,5511,461,4862,1036,176,157,388,1374
ENSG00000144451,0,336,0,1,111,132,389,1
ENSG00000144452,84,0,75,259,0,1,1,329
ENSG00000144455,1109,917,1012,1333,347,425,945,1172
ENSG00000144460,0,0,0,0,0,0,0,0
ENSG00000144468,721,531,716,939,194,147,437,970
ENSG00000144476,1218,64,1145,2985,20,508,1081,2307
ENSG00000144481,4041,29,3632,424,4,8,13,662
ENSG00000144485,735,32,538,1897,18,10,20,731
ENSG00000144488,3,1,0,2,1,0,0,0
ENSG00000144504,1201,165,1110,926,52,36,112,992
ENSG00000144524,1364,832,1175,925,310,211,667,986
ENSG00000144535,557,158,460,596,57,42,97,620
ENSG00000144550,10,1,9,10,1,1,3,10
ENSG00000144554,1803,565,1569,1511,216,148,495,2146
ENSG00000144559,451,366,464,466,150,98,224,428
ENSG00000144560,7439,719,6710,3873,255,293,763,4448
ENSG00000144566,4991,1252,4563,3097,387,443,1621,3704
ENSG00000144567,1758,1829,1397,1363,781,729,1873,1447
ENSG00000144579,1658,930,1589,1142,382,471,1206,1008
ENSG00000144580,3474,3288,3110,2838,1070,987,2957,3374
ENSG00000144583,0,140,0,0,46,117,267,0
ENSG00000144589,300,166,241,172,69,103,221,190
ENSG00000144591,992,1346,926,925,481,418,1003,875
ENSG00000144596,11,6,6,2,8,4,13,7
ENSG00000144597,2714,1027,2371,2535,359,297,897,2488
ENSG00000144619,51,5,32,48,2,6,9,51
ENSG00000144635,2001,1384,1586,2181,504,399,1150,2483
ENSG00000144642,4,81,2,2,30,45,71,0
ENSG00000144644,0,4,0,0,0,3,1,0
ENSG00000144645,117,1792,97,146,670,806,2496,163
ENSG00000144647,1316,1150,1287,991,428,315,936,986
ENSG00000144648,29,10,27,35,2,7,17,52
ENSG00000144649,16,156,20,46,69,80,176,44
ENSG00000144655,795,279,619,304,113,241,740,267
ENSG00000144659,2231,557,1851,2011,221,146,409,1954
ENSG00000144668,2,0,4,7,0,0,1,2
ENSG00000144671,6,5,9,6,2,1,3,7
ENSG00000144674,12333,1861,10358,7026,621,469,1614,9247
ENSG00000144677,1934,798,1661,1416,270,213,712,1616
ENSG00000144681,13,359,16,12,114,140,443,5
ENSG00000144711,2976,336,2751,2716,127,72,264,2753
ENSG00000144712,1,52,0,2,15,8,14,2
ENSG00000144713,31828,9975,27503,42232,4000,3381,9429,37786
ENSG00000144724,985,713,750,700,255,196,737,956
ENSG00000144730,152,569,193,192,214,96,317,211
ENSG00000144736,874,655,697,942,256,197,608,1187
ENSG00000144741,531,107,480,456,30,32,103,485
ENSG00000144744,6560,1269,6012,4331,413,416,1438,5591
ENSG00000144746,7455,1195,7125,7831,365,468,1310,9179
ENSG00000144747,3975,591,3448,2598,195,245,832,3408
ENSG00000144749,2033,398,1775,4161,150,129,438,4171
ENSG00000144771,0,0,0,0,0,0,0,0
ENSG00000144785,0,0,0,0,0,0,0,0
ENSG00000144791,2828,1583,2408,2396,607,539,1456,2502
ENSG00000144792,1,0,2,0,0,0,0,1
ENSG00000144802,258,1764,207,203,602,228,739,241
ENSG00000144810,0,620,0,0,218,224,640,0
ENSG00000144815,4096,1694,3681,2619,615,465,1659,2810
ENSG00000144820,0,0,0,0,0,0,3,0
ENSG00000144821,114,111,88,115,41,70,321,118
ENSG00000144824,17,5740,10,71,2180,1934,5991,91
ENSG00000144827,2639,1601,2125,2727,525,408,1357,3433
ENSG00000144834,0,226,0,0,80,87,277,0
ENSG00000144837,437,27,351,265,6,3,14,289
ENSG00000144840,1266,400,1164,1390,163,116,306,1807
ENSG00000144843,0,306,0,0,89,95,294,1
ENSG00000144847,17,70,12,8,27,13,22,15
ENSG00000144848,3613,2617,3318,3412,911,520,1582,4478
ENSG00000144852,0,1,1,0,0,0,0,0
ENSG00000144857,133,465,97,57,166,246,671,91
ENSG00000144867,4533,1660,3502,4926,655,454,1427,5134
ENSG00000144868,5,0,6,22,0,0,0,13
ENSG00000144891,0,418,0,0,145,209,676,0
ENSG00000144893,70,265,75,80,100,61,224,109
ENSG00000144895,6852,5484,5987,6282,1915,1727,4793,7943
ENSG00000144908,29,0,31,22,0,0,0,18
ENSG00000144909,1440,804,1280,871,281,217,859,1069
ENSG00000144935,129,223,79,45,87,119,463,68
ENSG00000144959,981,2657,897,450,1080,1005,3256,603
ENSG00000144962,0,0,0,0,0,0,0,0
ENSG00000145002,17,4,35,68,3,0,0,47
ENSG00000145012,5329,1019,4758,2979,346,260,834,3580
ENSG00000145014,118,128,132,158,68,84,156,128
ENSG00000145016,1549,440,1444,919,151,89,349,956
ENSG00000145020,9,1,11,6,1,2,3,5
ENSG00000145022,1486,389,1202,1094,157,117,286,1293
ENSG00000145029,0,0,0,0,0,0,0,0
ENSG00000145040,105,203,67,16,71,430,1228,20
ENSG00000145041,4090,1743,3745,2911,636,425,1472,3365
ENSG00000145050,6039,2724,4698,6231,1162,1110,3029,6661
ENSG00000145063,2,1,0,4,0,0,1,0
ENSG00000145075,0,0,0,0,0,0,0,0
ENSG00000145087,6619,19,5687,2725,8,2,4,3668
ENSG00000145088,637,13,448,164,6,2,5,298
ENSG00000145103,0,10,0,1,8,2,9,0
ENSG00000145107,0,3,0,0,0,2,9,0
ENSG00000145113,40,7,16,48,2,0,4,31
ENSG00000145147,16,453,10,2,181,196,623,4
ENSG00000145191,4699,1825,3821,3108,668,489,1717,3732
ENSG00000145192,36,1,30,23,0,0,0,7
ENSG00000145194,0,0,0,0,0,0,0,0
ENSG00000145198,30,55,24,1,20,26,74,3
ENSG00000145214,898,116,752,1056,64,19,67,857
ENSG00000145216,2205,1385,1924,2083,458,345,989,2317
ENSG00000145217,349,1,292,252,1,0,2,243
ENSG00000145220,2263,220,1943,2365,75,39,139,2727
ENSG00000145241,1132,965,947,502,318,304,845,652
ENSG00000145242,34,52,29,2,14,17,48,9
ENSG00000145244,10,6,9,16,5,2,4,17
ENSG00000145246,75,747,73,205,309,193,588,206
ENSG00000145247,2051,1527,1813,1702,611,462,1328,1345
ENSG00000145248,1,3,1,0,1,1,2,0
ENSG00000145283,1,0,2,1,0,1,3,2
ENSG00000145284,2789,702,2700,1708,242,362,944,2263
ENSG00000145287,3,244,1,3,73,67,226,4
ENSG00000145293,2968,311,2448,3053,137,82,240,3531
ENSG00000145309,0,0,0,0,0,0,0,0
ENSG00000145321,0,0,1,1,0,0,1,0
ENSG00000145331,1002,234,906,1205,67,59,192,1471
ENSG00000145332,2050,336,1732,1283,110,96,266,1689
ENSG00000145335,2,38,0,3,7,3,11,2
ENSG00000145337,0,0,0,0,0,0,0,0
ENSG00000145348,1445,571,1381,1205,189,161,427,1429
ENSG00000145349,4327,481,3752,1393,182,141,381,1721
ENSG00000145354,2071,634,1532,1550,237,222,607,2136
ENSG00000145358,543,0,548,205,0,0,0,178
ENSG00000145362,3,194,6,8,72,59,159,10
ENSG00000145365,737,261,605,430,98,98,291,557
ENSG00000145375,1085,1238,992,809,455,275,890,1100
ENSG00000145384,0,0,0,0,0,0,0,0
ENSG00000145386,2845,3027,2531,2611,1044,1014,2811,3298
ENSG00000145388,2167,553,1853,1605,184,163,470,1981
ENSG00000145390,2896,1996,2451,1402,693,795,2560,1974
ENSG00000145391,17941,1916,15394,15961,615,440,1416,20229
ENSG00000145414,1147,186,957,1459,76,57,163,1491
ENSG00000145416,121,41,113,77,15,14,45,61
ENSG00000145423,0,5,1,2,1,0,0,3
ENSG00000145425,35402,3550,31733,42723,789,1499,3828,38795
ENSG00000145428,1,0,0,0,0,0,0,0
ENSG00000145431,5,528,3,1,202,258,825,8
ENSG00000145439,5509,332,4557,2480,122,158,465,3279
ENSG00000145451,0,0,0,0,0,0,1,2
ENSG00000145476,1121,140,911,1433,46,31,65,1664
ENSG00000145491,18,12,14,18,3,10,17,19
ENSG00000145494,2549,625,2099,2476,300,151,452,2371
ENSG00000145495,6967,2779,6289,5087,1051,973,2719,6097
ENSG00000145506,253,118,267,220,36,26,87,230
ENSG00000145526,12,3,3,5,0,0,0,0
ENSG00000145536,0,342,0,0,153,157,348,1
ENSG00000145545,1657,405,1632,1071,163,158,506,1286
ENSG00000145555,2046,521,1811,1882,187,133,406,2278
ENSG00000145569,2500,1465,2042,990,517,440,1677,1433
ENSG00000145592,36853,12363,34885,42103,4883,4110,12194,41438
ENSG00000145604,2806,4329,2373,2127,1640,1320,3485,2736
ENSG00000145623,281,1548,242,267,598,1292,3771,258
ENSG00000145626,0,0,0,0,0,0,0,0
ENSG00000145632,3297,1781,2392,2895,698,366,1055,2281
ENSG00000145642,4,7,1,0,6,0,4,0
ENSG00000145649,0,0,0,0,0,0,1,1
ENSG00000145675,8923,272,7686,7951,97,68,309,9321
ENSG00000145681,0,1,0,0,0,0,1,0
ENSG00000145685,443,953,426,144,361,571,1785,240
ENSG00000145687,780,482,693,597,161,161,411,654
ENSG00000145692,0,0,0,0,0,0,0,0
ENSG00000145700,124,21,102,88,8,7,13,116
ENSG00000145703,1488,400,1219,1976,144,57,208,2614
ENSG00000145708,0,0,0,0,0,0,0,3
ENSG00000145715,3818,1492,3192,2228,503,583,1678,2883
ENSG00000145721,2,0,3,1,0,0,0,1
ENSG00000145723,557,402,468,633,166,121,308,779
ENSG00000145725,1855,2453,1653,1304,931,663,2047,1594
ENSG00000145730,348,2719,401,437,954,2172,6267,526
ENSG00000145734,34806,742,31885,11659,235,252,804,17007
ENSG00000145736,893,93,809,872,5,15,12,1160
ENSG00000145740,3595,1250,3177,2895,484,350,1056,3334
ENSG00000145741,17335,7171,15895,16320,2544,2540,7371,16435
ENSG00000145743,13192,232,12087,10329,99,98,296,11429
ENSG00000145757,0,8,0,1,2,3,1,0
ENSG00000145777,20,0,9,35,0,0,0,19
ENSG00000145779,3266,265,2830,2703,85,160,572,3046
ENSG00000145780,2915,1258,2561,2003,438,609,1807,2646
ENSG00000145781,1253,274,1154,1273,93,69,223,1486
ENSG00000145782,2675,838,2514,1842,316,364,987,2132
ENSG00000145794,3,2,0,3,0,1,1,1
ENSG00000145808,0,16,0,0,6,5,9,0
ENSG00000145817,2023,746,1640,2023,304,332,1011,2332
ENSG00000145819,1132,536,1037,1233,168,120,460,1224
ENSG00000145824,0,0,0,0,0,0,0,0
ENSG00000145826,0,0,0,0,0,0,0,0
ENSG00000145832,38,9,31,84,3,1,3,35
ENSG00000145833,11771,342,10481,6283,149,126,432,7601
ENSG00000145835,0,0,0,0,0,0,0,0
ENSG00000145839,0,0,0,0,0,0,0,0
ENSG00000145850,0,0,0,4,0,0,2,5
ENSG00000145860,4309,705,3572,2108,270,409,1154,2477
ENSG00000145861,4,18,0,5,7,4,16,3
ENSG00000145863,0,6,0,0,1,0,3,0
ENSG00000145864,1,0,3,0,0,0,0,2
ENSG00000145868,4188,1278,3530,2246,498,547,1513,2958
ENSG00000145879,0,0,0,0,0,1,0,0
ENSG00000145882,1247,750,1162,1921,296,152,272,2084
ENSG00000145888,0,0,0,0,0,0,0,0
ENSG00000145901,4005,1572,3860,2082,584,771,1829,1738
ENSG00000145907,8978,5690,7399,8460,2079,1928,5482,9926
ENSG00000145908,3553,0,3026,1531,0,0,1,2019
ENSG00000145911,339,66,279,242,30,29,60,266
ENSG00000145912,2486,974,2094,3381,430,290,800,2937
ENSG00000145916,1673,425,1621,1313,152,111,320,1360
ENSG00000145919,2622,864,2274,1966,326,195,619,2231
ENSG00000145920,8,11,6,2,12,2,6,1
ENSG00000145934,83,81,65,16,21,56,177,7
ENSG00000145936,0,0,1,0,0,0,1,0
ENSG00000145945,245,17,197,362,12,4,8,362
ENSG00000145949,50,4,40,26,0,2,11,21
ENSG00000145975,0,0,0,0,0,0,0,0
ENSG00000145979,442,274,412,335,128,80,258,314
ENSG00000145982,262,316,287,499,134,87,234,429
ENSG00000145990,360,357,283,279,155,58,188,233
ENSG00000145996,539,827,477,392,300,252,754,452
ENSG00000146001,0,0,0,0,0,0,0,0
ENSG00000146005,7,4,6,4,0,0,2,5
ENSG00000146006,1,0,0,2,0,0,0,3
ENSG00000146007,6659,262,5958,6225,97,79,182,6372
ENSG00000146013,3,1,0,0,1,0,0,1
ENSG00000146021,54,238,54,85,99,137,377,76
ENSG00000146038,36,6,25,26,2,3,5,18
ENSG00000146039,3,0,6,0,0,0,0,2
ENSG00000146047,0,0,0,0,0,0,0,0
ENSG00000146049,0,0,0,0,0,0,0,0
ENSG00000146054,33,226,27,38,100,71,146,51
ENSG00000146063,3312,234,3057,2557,90,60,193,2805
ENSG00000146066,982,763,945,1588,303,208,551,1184
ENSG00000146067,1820,437,1729,1079,165,139,344,1019
ENSG00000146070,316,219,295,270,75,29,75,309
ENSG00000146072,1387,1288,1250,728,481,145,426,745
ENSG00000146083,4678,492,4429,3599,190,147,447,2973
ENSG00000146085,2198,646,1957,1774,249,236,654,2269
ENSG00000146090,6,0,4,11,0,0,1,8
ENSG00000146094,1914,100,1561,327,34,95,258,344
ENSG00000146109,750,806,654,606,294,244,682,552
ENSG00000146112,664,1983,707,219,686,723,1864,186
ENSG00000146122,12,207,11,29,64,76,218,14
ENSG00000146143,370,622,298,387,269,224,657,435
ENSG00000146147,0,1,0,1,0,0,0,0
ENSG00000146151,0,11,1,0,2,1,9,0
ENSG00000146166,1,0,2,3,0,0,0,3
ENSG00000146192,0,1,0,3,0,1,0,3
ENSG00000146197,53,150,41,21,48,57,204,23
ENSG00000146205,1362,43,1279,305,17,12,50,261
ENSG00000146215,0,3,0,0,2,1,1,0
ENSG00000146216,24,0,20,28,1,0,0,32
ENSG00000146221,8,0,4,7,1,0,0,1
ENSG00000146223,8287,3401,7012,7666,1358,1018,2942,8971
ENSG00000146232,167,347,138,144,149,103,277,129
ENSG00000146233,376,194,340,275,94,45,149,318
ENSG00000146242,20,1231,20,6,445,1285,4253,11
ENSG00000146243,0,158,1,0,56,41,64,0
ENSG00000146247,4334,2928,3732,2912,1068,1125,3608,4191
ENSG00000146250,0,26,0,0,5,6,40,0
ENSG00000146263,746,1365,644,582,477,417,1285,777
ENSG00000146267,311,313,265,250,121,83,187,314
ENSG00000146276,0,0,1,0,0,0,0,1
ENSG00000146278,1684,421,1538,730,154,410,1342,936
ENSG00000146281,20,908,5,11,343,299,1042,17
ENSG00000146282,901,921,797,729,329,298,835,947
ENSG00000146285,0,0,0,0,0,0,0,0
ENSG00000146350,734,212,680,544,84,81,200,672
ENSG00000146352,0,0,0,0,0,0,0,0
ENSG00000146360,0,0,1,0,0,0,0,0
ENSG00000146373,130,361,142,80,167,160,468,106
ENSG00000146374,0,6,0,1,1,0,2,0
ENSG00000146376,1008,322,863,933,127,49,208,1164
ENSG00000146378,0,0,0,0,0,0,0,0
ENSG00000146383,0,0,0,0,0,0,0,0
ENSG00000146385,0,0,0,0,0,0,0,0
ENSG00000146386,1786,501,1534,1054,195,196,597,1430
ENSG00000146399,0,0,0,2,0,0,0,1
ENSG00000146409,541,343,514,596,107,104,369,558
ENSG00000146410,230,191,223,235,70,38,126,296
ENSG00000146411,2429,301,2414,1606,93,80,216,2184
ENSG00000146414,1783,806,1496,1044,301,234,731,1468
ENSG00000146416,4198,711,3739,3569,255,210,623,3824
ENSG00000146425,1968,1661,1657,1679,582,530,1635,1638
ENSG00000146426,51,138,75,128,53,45,128,133
ENSG00000146433,1951,1304,1620,1632,455,388,976,1939
ENSG00000146453,12,8,18,6,5,4,8,8
ENSG00000146457,4611,1351,3804,2922,491,514,1441,3299
ENSG00000146463,6681,3166,5426,4127,1132,1168,3609,5462
ENSG00000146469,0,3,2,0,2,1,6,0
ENSG00000146476,1665,699,1577,1177,288,245,902,1238
ENSG00000146477,967,221,931,2417,90,47,162,1712
ENSG00000146530,322,206,315,261,79,74,170,304
ENSG00000146535,2051,1244,1661,2013,476,393,1144,2075
ENSG00000146540,1083,788,996,1835,300,182,450,1223
ENSG00000146555,94,204,99,33,76,116,246,43
ENSG00000146556,0,0,0,0,0,0,0,0
ENSG00000146574,508,160,439,319,44,35,117,424
ENSG00000146576,471,251,368,494,79,65,144,427
ENSG00000146587,2958,964,2645,1527,324,446,1491,2116
ENSG00000146592,320,1151,311,192,418,365,872,163
ENSG00000146618,0,0,0,0,0,0,0,0
ENSG00000146648,20992,2124,20446,2691,762,1796,5753,3224
ENSG00000146666,0,15,0,0,8,4,24,0
ENSG00000146670,1142,1760,975,1071,688,542,1525,1235
ENSG00000146674,16772,775,12461,4309,248,5828,19091,6137
ENSG00000146676,4502,319,3935,2868,91,84,240,3684
ENSG00000146677,282,102,263,390,34,59,158,383
ENSG00000146678,3,4,0,0,0,7,23,0
ENSG00000146700,56,21,43,33,10,8,20,31
ENSG00000146701,6946,1931,6139,8659,811,670,1547,7280
ENSG00000146707,891,101,734,691,34,23,78,898
ENSG00000146722,0,0,0,0,0,0,0,0
ENSG00000146729,4915,1070,4566,3689,367,481,1383,4633
ENSG00000146731,16822,4533,13987,17182,1623,1383,4200,20750
ENSG00000146733,1092,530,1030,1905,212,184,457,1800
ENSG00000146755,1,0,0,3,0,0,0,1
ENSG00000146757,1490,1429,1236,811,495,469,1437,1164
ENSG00000146776,467,363,475,543,131,100,260,612
ENSG00000146802,1584,440,1306,1570,141,116,377,2133
ENSG00000146809,0,1,0,0,0,0,0,0
ENSG00000146826,410,244,353,468,115,62,218,348
ENSG00000146828,521,238,452,579,96,65,197,481
ENSG00000146830,3197,739,3029,1887,330,210,556,1744
ENSG00000146833,2436,127,1926,1858,41,34,92,2214
ENSG00000146834,994,267,789,791,106,90,239,856
ENSG00000146839,0,0,0,0,0,0,0,1
ENSG00000146842,1218,1498,1115,1441,551,458,1143,1805
ENSG00000146856,238,68,217,210,22,19,45,261
ENSG00000146857,0,0,0,0,0,0,0,0
ENSG00000146858,159,242,152,78,107,145,312,103
ENSG00000146859,237,22,186,394,13,4,8,435
ENSG00000146872,2659,493,2275,1770,160,153,538,2061
ENSG00000146904,344,5,349,407,1,1,0,328
ENSG00000146909,1531,151,1433,1389,65,43,127,1584
ENSG00000146910,0,0,0,0,0,0,0,0
ENSG00000146918,3964,1418,3214,2113,547,592,1896,2759
ENSG00000146926,2,0,0,0,0,0,0,0
ENSG00000146938,2091,895,1896,1064,314,208,768,1289
ENSG00000146950,1545,490,1377,1413,151,124,329,1600
ENSG00000146955,74,1,54,158,0,1,1,119
ENSG00000146963,2743,110,2488,1832,45,29,83,2091
ENSG00000146966,1,368,2,8,154,136,363,6
ENSG00000147003,23,341,21,41,110,201,597,43
ENSG00000147010,1178,6769,1080,1179,2276,2164,6986,1314
ENSG00000147027,1390,169,1210,600,68,98,218,773
ENSG00000147036,35,3,48,10,0,0,0,13
ENSG00000147041,66,7,49,33,3,3,13,57
ENSG00000147044,2244,764,1945,1862,282,297,938,2130
ENSG00000147050,11294,955,9358,5129,322,400,1212,6310
ENSG00000147059,1,0,1,5,0,0,0,1
ENSG00000147065,4145,16830,3691,3823,5908,7679,21503,3738
ENSG00000147081,0,0,0,0,0,0,0,0
ENSG00000147082,244,62,211,119,25,15,47,144
ENSG00000147099,1239,435,1159,948,151,129,425,984
ENSG00000147100,443,1539,395,309,534,606,1877,254
ENSG00000147113,5,1,0,14,0,0,0,23
ENSG00000147117,0,0,0,0,0,0,0,0
ENSG00000147118,823,345,734,393,136,126,381,555
ENSG00000147119,15,74,14,6,34,24,67,12
ENSG00000147121,313,255,318,357,100,119,297,411
ENSG00000147123,1371,886,1179,1929,418,289,764,1388
ENSG00000147124,1553,859,1287,1059,274,294,913,1332
ENSG00000147127,0,0,0,0,0,0,0,0
ENSG00000147130,3227,852,3152,1106,348,380,948,1307
ENSG00000147133,2734,540,2435,1884,206,122,371,2423
ENSG00000147138,0,0,0,0,0,0,0,1
ENSG00000147140,27009,3052,24629,22035,1012,800,2213,22970
ENSG00000147144,665,60,604,347,29,25,86,341
ENSG00000147145,0,8,0,0,3,0,2,0
ENSG00000147155,2283,728,1811,1696,278,276,884,1666
ENSG00000147160,6,0,1,2,0,0,1,1
ENSG00000147162,17887,4716,16590,12900,1706,2220,7078,15824
ENSG00000147164,1648,1381,1342,1166,587,434,1257,1266
ENSG00000147166,54,22,47,25,6,7,8,32
ENSG00000147168,37,2,29,13,0,2,1,12
ENSG00000147174,156,63,127,130,29,31,117,153
ENSG00000147180,507,73,460,422,18,21,75,598
ENSG00000147183,0,0,0,1,0,0,0,0
ENSG00000147202,1659,716,1630,1265,249,332,959,1634
ENSG00000147206,8,0,1,16,0,0,0,13
ENSG00000147223,0,0,0,0,0,0,0,0
ENSG00000147224,3818,2783,3158,4431,1047,728,2233,4659
ENSG00000147231,94,151,96,108,64,29,82,153
ENSG00000147234,133,51,154,200,13,18,37,183
ENSG00000147246,168,0,150,143,0,0,0,239
ENSG00000147251,61,64,47,48,21,15,44,67
ENSG00000147255,40,25,28,27,9,10,23,34
ENSG00000147256,0,0,0,0,0,0,0,0
ENSG00000147257,112,44,130,85,16,15,45,131
ENSG00000147262,0,0,0,2,0,0,0,1
ENSG00000147274,13801,3131,12017,10143,1153,1151,3419,11311
ENSG00000147316,2321,522,1951,1960,212,167,487,2246
ENSG00000147324,2147,506,1888,1403,212,183,605,1620
ENSG00000147364,2561,234,2186,1816,85,74,214,2209
ENSG00000147378,0,0,1,1,0,0,0,1
ENSG00000147381,3364,0,2866,2788,0,0,0,3501
ENSG00000147383,1019,521,829,961,208,187,514,879
ENSG00000147394,60,1099,66,67,398,695,1822,71
ENSG00000147400,2834,1536,2455,2691,553,526,1641,3003
ENSG00000147403,4473,3234,3937,6932,1403,1224,3296,4146
ENSG00000147408,116,261,101,117,119,64,207,103
ENSG00000147416,3864,2641,2908,3526,1084,903,2596,3995
ENSG00000147419,3182,602,3105,2545,218,176,460,2892
ENSG00000147421,932,298,809,468,114,100,284,566
ENSG00000147432,0,0,0,0,2,0,0,0
ENSG00000147434,1,0,0,0,0,0,0,0
ENSG00000147437,51,33,55,24,12,13,61,17
ENSG00000147439,495,208,484,459,110,65,201,380
ENSG00000147443,3,0,0,1,0,0,0,0
ENSG00000147454,7089,1737,6534,6806,657,746,2180,7044
ENSG00000147457,2547,661,2242,2049,279,155,536,2096
ENSG00000147459,1661,2578,1550,1956,1026,1673,4904,2171
ENSG00000147465,5,0,4,1,0,0,1,8
ENSG00000147471,659,1362,590,727,457,352,864,780
ENSG00000147475,3954,722,3592,5373,262,117,346,5827
ENSG00000147481,0,0,1,0,0,0,0,0
ENSG00000147485,2,0,2,0,0,1,0,2
ENSG00000147488,0,0,0,0,0,0,0,0
ENSG00000147509,3,44,0,1,20,18,51,4
ENSG00000147526,4813,2873,4359,1772,1059,865,2924,2149
ENSG00000147533,2544,1316,2246,1817,473,506,1370,2417
ENSG00000147535,5355,408,4607,4711,153,118,271,5636
ENSG00000147536,610,1086,534,613,433,493,1499,821
ENSG00000147548,7813,3401,7001,4588,1212,1075,3254,5784
ENSG00000147570,3,5,5,15,0,0,5,14
ENSG00000147571,0,0,0,0,0,0,0,0
ENSG00000147573,1,2,0,0,0,0,1,4
ENSG00000147576,2,6,7,3,2,3,1,1
ENSG00000147586,85,56,102,92,21,12,37,87
ENSG00000147588,0,0,0,0,0,0,0,0
ENSG00000147592,2166,1333,1911,2782,543,339,1066,3242
ENSG00000147596,0,0,0,0,0,0,0,0
ENSG00000147601,1869,1771,1734,1699,670,458,1377,2201
ENSG00000147604,17778,6478,16437,23749,2393,2390,7068,23779
ENSG00000147606,0,9,4,1,2,1,10,2
ENSG00000147613,5,0,9,1,0,0,0,3
ENSG00000147614,2,15,2,2,7,6,13,2
ENSG00000147642,175,180,173,563,80,25,76,474
ENSG00000147647,0,8,0,1,2,4,17,1
ENSG00000147649,16684,14256,14353,12889,5040,5154,16367,16078
ENSG00000147650,1071,2197,1179,731,802,942,2951,757
ENSG00000147654,1819,573,1558,1834,209,147,431,2241
ENSG00000147655,1,10,0,1,0,6,15,0
ENSG00000147669,2206,2301,1921,2185,830,614,1558,2313
ENSG00000147676,5924,474,5523,7481,166,130,368,9137
ENSG00000147677,11835,9395,10654,12458,3256,3338,9976,13714
ENSG00000147679,1273,1029,1091,1153,356,273,769,1431
ENSG00000147684,5152,4997,4605,5472,2030,1412,4474,4895
ENSG00000147687,2286,1207,2211,3013,405,386,1134,3489
ENSG00000147689,19,9,13,5,3,46,104,14
ENSG00000147697,0,3,0,8,0,1,0,5
ENSG00000147724,0,0,0,1,2,9,0,1
ENSG00000147753,0,0,0,0,0,0,0,0
ENSG00000147761,0,0,0,0,0,0,0,0
ENSG00000147789,1671,1215,1445,1032,519,373,1048,1152
ENSG00000147799,520,172,462,321,70,76,190,318
ENSG00000147804,1197,696,1001,1637,240,170,392,1418
ENSG00000147813,665,147,576,902,49,27,53,665
ENSG00000147852,3031,166,2659,574,56,368,1045,565
ENSG00000147853,7274,1663,6970,6134,568,640,1811,6034
ENSG00000147854,1857,950,1722,1476,331,345,1024,1893
ENSG00000147862,2073,682,1804,789,261,231,858,1019
ENSG00000147869,0,0,0,1,0,0,0,1
ENSG00000147872,11,636,13,10,229,316,1010,10
ENSG00000147873,0,0,0,0,0,0,0,2
ENSG00000147874,4250,1246,3619,2658,461,531,1493,3625
ENSG00000147883,155,1093,141,119,392,345,1112,119
ENSG00000147885,0,0,0,0,0,0,0,0
ENSG00000147889,1119,3179,927,1362,1068,811,2138,1263
ENSG00000147894,1309,718,1254,1298,281,252,697,1458
ENSG00000147896,0,0,0,0,0,0,0,0
ENSG00000147905,930,116,801,698,39,42,111,951
ENSG00000147912,173,66,132,227,34,10,36,170
ENSG00000147955,6083,1479,5420,7809,428,375,951,7668
ENSG00000147996,276,44,218,244,24,9,37,247
ENSG00000148019,1723,660,1487,1437,222,179,560,1893
ENSG00000148053,86,133,59,6,50,95,223,2
ENSG00000148057,431,51,301,463,13,11,37,486
ENSG00000148082,60,88,54,32,27,21,66,25
ENSG00000148090,1550,146,1338,2121,39,44,145,2328
ENSG00000148110,4313,1931,3722,3709,726,626,1790,4026
ENSG00000148120,351,960,234,211,330,186,598,266
ENSG00000148123,130,19,95,194,9,3,7,205
ENSG00000148136,0,0,0,0,0,0,0,0
ENSG00000148143,2396,987,2065,1872,323,245,724,2198
ENSG00000148153,1485,656,1360,1036,234,228,539,1440
ENSG00000148154,1256,1064,1112,716,402,577,1571,870
ENSG00000148156,0,0,0,1,0,0,1,0
ENSG00000148158,968,1236,884,721,471,405,1281,817
ENSG00000148175,1,827,3,2,339,238,730,3
ENSG00000148180,570,234,522,195,103,57,248,142
ENSG00000148187,2120,427,1963,1712,177,117,335,1928
ENSG00000148200,118,212,107,81,86,84,247,76
ENSG00000148204,0,0,1,1,0,0,0,1
ENSG00000148215,0,0,0,0,0,0,0,0
ENSG00000148218,2059,334,1904,1361,82,71,199,1422
ENSG00000148219,193,74,190,331,26,19,45,322
ENSG00000148225,410,248,396,539,91,80,176,754
ENSG00000148229,7702,1046,6956,8867,323,161,554,9023
ENSG00000148248,8026,4190,6845,6959,1627,1893,5243,7067
